Category,2er,3er,4er,Type,Card Name,Age,,,,,Card text and comments,,
Event,1,1,1,Event,Development of Agriculture,A,,,,,Each civilization produces 2 food,,
,1,1,1,Event,Development of Crafts,A,,,,,Each civilization produces 2 resources,,
,1,1,1,Event,Development of Markets,A,,,,,Each civilization produces 2 resources or 2 food (player choice),,
,1,1,1,Event,Development of Politics,A,,,,,Each player draws 3 military cards; active player does not discard military cards this round,,
,1,1,1,Event,Development of Religion,A,,,,,Each player with an unused worker my immediately build an Age A temple for free,,
,1,1,1,Event,Development of Science,A,,,,,Each civilization scores 2 science,,
,1,1,1,Event,Development of Settlement,A,,,,,Each civilization increases its population for free,,
,1,1,1,Event,Development of Trade Routes,A,,,,,Each civilization scores 1 science and produces 1 resource and 1 food,,
,1,1,1,Event,Development of Warfare,A,,,,,Each player with an unused worker my immediately build a Warrior unit for free,,
,1,1,1,Event,No Event,A,,,,,,,
,,,,,,,,,,,,,
,1,1,1,Event,Barbarians,I,,,,,"If culture leader is 1 of the 2 weakest, it loses 1 population",,
,1,1,1,Event,Border Conflict,I,,,,,"Weakest civilization loses 1 urban building, farm, or mine; strongest produces 3 resources",,
,1,1,1,Event,Crusades,I,,,,,Strongest civ scores 4 culture; weakest loses 4 culture,,
,1,1,1,Event,Cultural Influence,I,,,,,Each civilization scores culture = to culture rating,,
,1,1,1,Event,Foray,I,,,,,2 strongest civilizations each produce a total of 3 resources/food,
,1,1,1,Event,Good Harvest,I,,,,,Each player's farms produce immediately; ignore consumption & corruption,
,1,1,1,Event,Immigration,I,,,,,Civilization(s) with most happy faces increases population by 1,
,1,1,1,Event,New Deposits,I,,,,,Each player's mines produce immediately; ignore corruption,
,1,1,1,Event,Pestilence,I,,,,,Each civilization loses 1 population,
,1,1,1,Event,Raiders,I,,,,,2 weakest civilizations each lose a total of 2 resources/food,
,1,1,1,Event,Rats,I,,,,,Each civilization loses all stored food,
,1,1,1,Event,Rebellion,I,,,,,Each player loses 2 civil actions per discontent worker (on their next turn),
,1,1,1,Event,Reign of Terror,I,,,,,Weakest civilization loses 1 population,
,1,1,1,Event,Scientific Breakthrough,I,,,,,Each civilization immediately scores science = to science rating,
,1,1,1,Event,Uncertain Borders,I,,,,,Weakest civilization gives 1 yellow token from its yellow bank to the strongest civilization's yellow bank,
,1,1,1,Territory,Developed Territory,I,+1 blue & +1 yellow,,3 science,,,
,1,1,1,Territory,Fertile Territory,I,+3 yellow tokens,,3 food,,,
,1,1,1,Territory,Historic Territory,I,+1 happy face,,6 culture,,,
,1,1,1,Territory,Inhabited Territory,I,+2 yellow tokens,,Increase pop,,,
,1,1,1,Territory,Strategic Territory,I,+2 strength,,3 mil cards,,,
,1,1,1,Territory,Weathly Territory,I,+2 blue tokens,,5 resources,,,
,,,,,,,,,,,,
,1,1,1,Event,Civil Unrest,II,,,,,Each civilization loses 4 culture per discontent worker,
